id,nome_prodotto,categoria,prezzo,tacco,taglie,colore,link
idp21541,Slingback 3005,scarpe-con-tacco,"95,00 €",6,35 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/slingback/slingback-3005-idp21541.html
idp21535,Mocassino con tacco 512,scarpe-con-tacco,"129,00 €",3,35 36 37 38 39,#ac8e83,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/mocassino-con-tacco-512-idp21535.html
idp21534,Mocassino con tacco 512,scarpe-con-tacco,"129,00 €",3,35 36 37 39 40,#1f2839,https://www.kammi.it/scarpe-donna/scarpe-con-tacco/mocassino-con-tacco-512-idp21534.html
idp21579,Slingback bassa T011,scarpe-basse,"95,00 €",2,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/slingback-bassa-t011-idp21579.html
idp21578,Mocassino 2002 cam,scarpe-basse,"89,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2002-cam-idp21578.html
idp21577,Mocassino 2014,scarpe-basse,"89,90 €",0,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21577.html
idp21576,Mocassino 2014,scarpe-basse,"89,90 €",0,36 37 38 39 40,#e4a677,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21576.html
idp21568,Ballerina 6012,scarpe-basse,"85,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-6012-idp21568.html
idp21559,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21559.html
idp21558,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21558.html
idp21557,Ballerina 5019,scarpe-basse,"105,00 €",1,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5019-idp21557.html
idp21556,Ballerina 5016,scarpe-basse,"95,00 €",1,36 37 38 39,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21556.html
idp21555,Ballerina 5016,scarpe-basse,"95,00 €",1,37 38 40,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21555.html
idp21554,Ballerina 5025,scarpe-basse,"109,00 €",1,35 37 38 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5025-idp21554.html
idp21553,Mocassino  L48,scarpe-basse,"129,00 €",1,37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l48-idp21553.html
idp21552,Mocassino L60,scarpe-basse,"115,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l60-idp21552.html
idp21543,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 40 41,#CD7F32,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21543.html
idp21542,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21542.html
idp21579,Slingback bassa T011,scarpe-basse,"95,00 €",2,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/slingback-bassa-t011-idp21579.html
idp21578,Mocassino 2002 cam,scarpe-basse,"89,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2002-cam-idp21578.html
idp21577,Mocassino 2014,scarpe-basse,"89,90 €",0,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21577.html
idp21576,Mocassino 2014,scarpe-basse,"89,90 €",0,36 37 38 39 40,#e4a677,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21576.html
idp21568,Ballerina 6012,scarpe-basse,"85,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-6012-idp21568.html
idp21559,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21559.html
idp21558,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21558.html
idp21557,Ballerina 5019,scarpe-basse,"105,00 €",1,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5019-idp21557.html
idp21556,Ballerina 5016,scarpe-basse,"95,00 €",1,36 37 38 39,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21556.html
idp21555,Ballerina 5016,scarpe-basse,"95,00 €",1,37 38 40,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21555.html
idp21554,Ballerina 5025,scarpe-basse,"109,00 €",1,35 37 38 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5025-idp21554.html
idp21553,Mocassino  L48,scarpe-basse,"129,00 €",1,37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l48-idp21553.html
idp21552,Mocassino L60,scarpe-basse,"115,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l60-idp21552.html
idp21543,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 40 41,#CD7F32,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21543.html
idp21542,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21542.html
idp21579,Slingback bassa T011,scarpe-basse,"95,00 €",2,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/slingback-bassa-t011-idp21579.html
idp21578,Mocassino 2002 cam,scarpe-basse,"89,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2002-cam-idp21578.html
idp21577,Mocassino 2014,scarpe-basse,"89,90 €",0,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21577.html
idp21576,Mocassino 2014,scarpe-basse,"89,90 €",0,36 37 38 39 40,#e4a677,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21576.html
idp21568,Ballerina 6012,scarpe-basse,"85,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-6012-idp21568.html
idp21559,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21559.html
idp21558,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21558.html
idp21557,Ballerina 5019,scarpe-basse,"105,00 €",1,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5019-idp21557.html
idp21556,Ballerina 5016,scarpe-basse,"95,00 €",1,36 37 38 39,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21556.html
idp21555,Ballerina 5016,scarpe-basse,"95,00 €",1,37 38 40,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21555.html
idp21554,Ballerina 5025,scarpe-basse,"109,00 €",1,35 37 38 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5025-idp21554.html
idp21553,Mocassino  L48,scarpe-basse,"129,00 €",1,37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l48-idp21553.html
idp21552,Mocassino L60,scarpe-basse,"115,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l60-idp21552.html
idp21543,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 40 41,#CD7F32,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21543.html
idp21542,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21542.html
idp21579,Slingback bassa T011,scarpe-basse,"95,00 €",2,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/slingback-bassa-t011-idp21579.html
idp21578,Mocassino 2002 cam,scarpe-basse,"89,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2002-cam-idp21578.html
idp21577,Mocassino 2014,scarpe-basse,"89,90 €",0,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21577.html
idp21576,Mocassino 2014,scarpe-basse,"89,90 €",0,36 37 38 39 40,#e4a677,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-2014-idp21576.html
idp21568,Ballerina 6012,scarpe-basse,"85,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-6012-idp21568.html
idp21559,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21559.html
idp21558,Ballerina 5015,scarpe-basse,"89,90 €",1,35 37 38 39 40 41,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5015-idp21558.html
idp21557,Ballerina 5019,scarpe-basse,"105,00 €",1,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5019-idp21557.html
idp21556,Ballerina 5016,scarpe-basse,"95,00 €",1,36 37 38 39,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21556.html
idp21555,Ballerina 5016,scarpe-basse,"95,00 €",1,37 38 40,#f5d7b3,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5016-idp21555.html
idp21554,Ballerina 5025,scarpe-basse,"109,00 €",1,35 37 38 40 41,-,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-5025-idp21554.html
idp21553,Mocassino  L48,scarpe-basse,"129,00 €",1,37 38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l48-idp21553.html
idp21552,Mocassino L60,scarpe-basse,"115,00 €",1,38 39 40,-,https://www.kammi.it/scarpe-donna/scarpe-basse/mocassini/mocassino-l60-idp21552.html
idp21543,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 40 41,#CD7F32,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21543.html
idp21542,Ballerina Lulu,scarpe-basse,"89,90 €",0,35 36 37 38 39 41,#000000,https://www.kammi.it/scarpe-donna/scarpe-basse/ballerine/ballerina-lulu-idp21542.html
